des(0, 17109, 19683)
(14029, "x7", 16216)
(16216, "o3", 16270)
(16216, "o5", 16702)
(178, "x7", 2365)
(2365, "o3", 2419)
(2365, "o5", 2851)
(2851, "x3", 2878)
(2851, "x6", 3580)
(2851, "x8", 9412)
(9412, "o3", 9466)
(9412, "o6", 10870)
(10870, "x3", 10897)
(2365, "o6", 3823)
(3823, "x3", 3850)
(3823, "x5", 4066)
(3823, "x8", 10384)
(10384, "o3", 10438)
(10384, "o5", 10870)
(2365, "o8", 15487)
(15487, "x3", 15514)
(15487, "x5", 15730)
(15487, "x6", 16216)
(178, "x8", 6739)
(6739, "o3", 6793)
(6739, "o5", 7225)
(7225, "x3", 7252)
(7225, "x6", 7954)
(7225, "x7", 9412)
(6739, "o6", 8197)
(8197, "x3", 8224)
(8197, "x5", 8440)
(8197, "x7", 10384)
(6739, "o7", 11113)
(11113, "o-won", 19683)
(16, "o5", 502)
(502, "x3", 529)
(529, "o4", 691)
(529, "o6", 1987)
(1987, "x4", 2068)
(2068, "o7", 6442)
(6442, "x8", 13003)
(13003, "x-won", 19683)
(2068, "o8", 15190)
(15190, "x7", 17377)
(1987, "x7", 4174)
(4174, "o4", 4336)
(4174, "o8", 17296)
(17296, "x4", 17377)
(1987, "x8", 8548)
(8548, "o4", 8710)
(8548, "o7", 12922)
(12922, "x4", 13003)
(529, "o7", 4903)
(4903, "x4", 4984)
(4984, "o6", 6442)
(4984, "o8", 18106)
(18106, "x6", 18835)
(18835, "x-won", 19683)
(4903, "x6", 5632)
(5632, "x-won", 19683)
(4903, "x8", 11464)
(11464, "o4", 11626)
(11464, "o6", 12922)
(529, "o8", 13651)
(13651, "x4", 13732)
(13732, "o6", 15190)
(13732, "o7", 18106)
(13651, "x6", 14380)
(14380, "x-won", 19683)
(13651, "x7", 15838)
(15838, "o4", 16000)
(15838, "o6", 17296)
(502, "x4", 583)
(583, "o3", 637)
(583, "o6", 2041)
(2041, "x3", 2068)
(2041, "x7", 4228)
(4228, "o3", 4282)
(4228, "o8", 17350)
(17350, "x3", 17377)
(2041, "x8", 8602)
(8602, "x-won", 19683)
(583, "o7", 4957)
(4957, "x3", 4984)
(4957, "x6", 5686)
(5686, "x-won", 19683)
(4957, "x8", 11518)
(11518, "x-won", 19683)
(583, "o8", 13705)
(13705, "x3", 13732)
(13705, "x6", 14434)
(14434, "x-won", 19683)
(13705, "x7", 15892)
(15892, "o3", 15946)
(15892, "o6", 17350)
(502, "x6", 1231)
(1231, "o3", 1285)
(1231, "o4", 1393)
(1231, "o7", 5605)
(5605, "x3", 5632)
(5605, "x4", 5686)
(5605, "x8", 12166)
(12166, "o3", 12220)
(12166, "o4", 12328)
(1231, "o8", 14353)
(14353, "x3", 14380)
(14353, "x4", 14434)
(14353, "x7", 16540)
(16540, "o3", 16594)
(16540, "o4", 16702)
(502, "x7", 2689)
(2689, "o3", 2743)
(2689, "o4", 2851)
(2689, "o6", 4147)
(4147, "x3", 4174)
(4147, "x4", 4228)
(4147, "x8", 10708)
(10708, "o3", 10762)
(10708, "o4", 10870)
(2689, "o8", 15811)
(15811, "x3", 15838)
(15811, "x4", 15892)
(15811, "x6", 16540)
(502, "x8", 7063)
