des(0, 17109, 19683)
(14707, "x5", 14950)
(14950, "x-won", 19683)
(14707, "x7", 16894)
(16894, "o1", 16900)
(16894, "o5", 17380)
(1504, "x5", 1747)
(1747, "o1", 1753)
(1747, "o4", 1909)
(1747, "o7", 6121)
(6121, "x1", 6124)
(6121, "x4", 6202)
(6121, "x8", 12682)
(12682, "o1", 12688)
(12682, "o4", 12844)
(1747, "o8", 14869)
(14869, "x1", 14872)
(14869, "x4", 14950)
(14869, "x7", 17056)
(17056, "o1", 17062)
(17056, "o4", 17218)
(1504, "x7", 3691)
(3691, "o1", 3697)
(3691, "o4", 3853)
(3691, "o5", 4177)
(3691, "o8", 16813)
(16813, "x1", 16816)
(16813, "x4", 16894)
(16813, "x5", 17056)
(1504, "x8", 8065)
(8065, "o1", 8071)
(8065, "o4", 8227)
(8065, "o5", 8551)
(8065, "o7", 12439)
(12439, "x1", 12442)
(12439, "x4", 12520)
(12439, "x5", 12682)
(46, "o7", 4420)
(4420, "x1", 4423)
(4420, "x4", 4501)
(4501, "o1", 4507)
(4501, "o5", 4987)
(4501, "o6", 5959)
(4501, "o8", 17623)
(17623, "x1", 17626)
(17623, "x5", 17866)
(17866, "x-won", 19683)
(17623, "x6", 18352)
(18352, "x-won", 19683)
(4420, "x5", 4663)
(4663, "o1", 4669)
(4663, "o4", 4825)
(4663, "o6", 6121)
(4663, "o8", 17785)
(17785, "x1", 17788)
(17785, "x4", 17866)
(17785, "x6", 18514)
(18514, "x-won", 19683)
(4420, "x6", 5149)
(5149, "x-won", 19683)
(4420, "x8", 10981)
(10981, "o1", 10987)
(10981, "o4", 11143)
(10981, "o5", 11467)
(10981, "o6", 12439)
(46, "o8", 13168)
(13168, "x1", 13171)
(13168, "x4", 13249)
(13249, "o1", 13255)
(13249, "o5", 13735)
(13249, "o6", 14707)
(13249, "o7", 17623)
(13168, "x5", 13411)
(13411, "o1", 13417)
(13411, "o4", 13573)
(13411, "o6", 14869)
(13411, "o7", 17785)
(13168, "x6", 13897)
(13897, "x-won", 19683)
(13168, "x7", 15355)
(15355, "o1", 15361)
(15355, "o4", 15517)
(15355, "o5", 15841)
(15355, "o6", 16813)
(19, "x4", 100)
(100, "o1", 106)
(100, "o3", 154)
(154, "x1", 157)
(154, "x5", 397)
(397, "o1", 403)
(397, "o6", 1855)
(1855, "x1", 1858)
(1855, "x7", 4042)
(4042, "o1", 4048)
(4042, "o8", 17164)
(17164, "x1", 17167)
(1855, "x8", 8416)
(8416, "x-won", 19683)
(397, "o7", 4771)
(4771, "x1", 4774)
(4771, "x6", 5500)
(5500, "o1", 5506)
(5500, "o8", 18622)
(18622, "x1", 18625)
(4771, "x8", 11332)
(11332, "x-won", 19683)
(397, "o8", 13519)
(13519, "x1", 13522)
(13519, "x6", 14248)
(14248, "o1", 14254)
(14248, "o7", 18622)
(13519, "x7", 15706)
(15706, "o1", 15712)
(15706, "o6", 17164)
(154, "x6", 883)
(883, "o1", 889)
(883, "o5", 1369)
(1369, "x1", 1372)
(1369, "x7", 3556)
(3556, "o1", 3562)
(3556, "o8", 16678)
(16678, "o-won", 19683)
(1369, "x8", 7930)
(7930, "x-won", 19683)
(883, "o7", 5257)
(5257, "x1", 5260)
(5257, "x5", 5500)
(5257, "x8", 11818)
(11818, "x-won", 19683)
(883, "o8", 14005)
(14005, "x1", 14008)
(14005, "x5", 14248)
(14005, "x7", 16192)
(16192, "o1", 16198)
(16192, "o5", 16678)
(154, "x7", 2341)
(2341, "o1", 2347)
(2341, "o5", 2827)
(2827, "x1", 2830)
(2827, "x6", 3556)
(2827, "x8", 9388)
(9388, "x-won", 19683)
(2341, "o6", 3799)
(3799, "x1", 3802)
(3799, "x5", 4042)
(3799, "x8", 10360)
(10360, "x-won", 19683)
(2341, "o8", 15463)
(15463, "x1", 15466)
(15463, "x5", 15706)
(15463, "x6", 16192)
(154, "x8", 6715)
(6715, "x-won", 19683)
(100, "o5", 586)
(586, "x1", 589)
(586, "x3", 613)
(586, "x6", 1315)
(1315, "o1", 1321)
(1315, "o3", 1369)
(1315, "o7", 5689)
(5689, "x1", 5692)
(5689, "x3", 5716)
(5689, "x8", 12250)
(12250, "x-won", 19683)
(1315, "o8", 14437)
(14437, "o-won", 19683)
(586, "x7", 2773)
(2773, "o1", 2779)
(2773, "o3", 2827)
(2773, "o6", 4231)
(4231, "x1", 4234)
(4231, "x3", 4258)
(4231, "x8", 10792)
(10792, "x-won", 19683)
(2773, "o8", 15895)
(15895, "o-won", 19683)
(586, "x8", 7147)
(7147, "x-won", 19683)
(100, "o6", 1558)
(1558, "x1", 1561)
(1558, "x3", 1585)
(1558, "x5", 1801)
(1801, "o1", 1807)
(1801, "o3", 1855)
(1801, "o7", 6175)
(6175, "x1", 6178)
(6175, "x3", 6202)
(6175, "x8", 12736)
(12736, "x-won", 19683)
(1801, "o8", 14923)
(14923, "x1", 14926)
(14923, "x3", 14950)
(14923, "x7", 17110)
(17110, "o1", 17116)
(17110, "o3", 17164)
(1558, "x7", 3745)
(3745, "o1", 3751)
(3745, "o3", 3799)
(3745, "o5", 4231)
(3745, "o8", 16867)
(16867, "x1", 16870)
(16867, "x3", 16894)
(16867, "x5", 17110)
(1558, "x8", 8119)
(8119, "x-won", 19683)
(100, "o7", 4474)
(4474, "x1", 4477)
(4474, "x3", 4501)
(4474, "x5", 4717)
(4717, "o1", 4723)
(4717, "o3", 4771)
(4717, "o6", 6175)
(4717, "o8", 17839)
(17839, "x1", 17842)
(17839, "x3", 17866)
(17839, "x6", 18568)
(18568, "o1", 18574)
(18568, "o3", 18622)
(4474, "x6", 5203)
(5203, "o1", 5209)
(5203, "o3", 5257)
(5203, "o5", 5689)
(5203, "o8", 18325)
(18325, "x1", 18328)
(18325, "x3", 18352)
(18325, "x5", 18568)
(4474, "x8", 11035)
(11035, "x-won", 19683)
(100, "o8", 13222)
(13222, "x1", 13225)
(13222, "x3", 13249)
(13222, "x5", 13465)
(13465, "o1", 13471)
(13465, "o3", 13519)
(13465, "o6", 14923)
(13465, "o7", 17839)
(13222, "x6", 13951)
(13951, "o1", 13957)
(13951, "o3", 14005)
(13951, "o5", 14437)
(13951, "o7", 18325)
(13222, "x7", 15409)
(15409, "o1", 15415)
(15409, "o3", 15463)
(15409, "o5", 15895)
(15409, "o6", 16867)
(19, "x5", 262)
(262, "o1", 268)
(262, "o3", 316)
(316, "x1", 319)
(316, "x4", 397)
(316, "x6", 1045)
(1045, "o1", 1051)
(1045, "o4", 1207)
(1207, "x1", 1210)
(1207, "x7", 3394)
(3394, "o1", 3400)
(3394, "o8", 16516)
(16516, "x1", 16519)
(1207, "x8", 7768)
(7768, "o1", 7774)
(7768, "o7", 12142)
(12142, "x1", 12145)
(1045, "o7", 5419)
(5419, "x1", 5422)
(5419, "x4", 5500)
(5419, "x8", 11980)
(11980, "o1", 11986)
(11980, "o4", 12142)
(1045, "o8", 14167)
(14167, "x1", 14170)
(14167, "x4", 14248)
(14167, "x7", 16354)
(16354, "o1", 16360)
(16354, "o4", 16516)
(316, "x7", 2503)
(2503, "o1", 2509)
(2503, "o4", 2665)
(2665, "x1", 2668)
(2665, "x6", 3394)
(2665, "x8", 9226)
(9226, "o1", 9232)
(9226, "o6", 10684)
(10684, "o-won", 19683)
(2503, "o6", 3961)
(3961, "x1", 3964)
(3961, "x4", 4042)
(3961, "x8", 10522)
(10522, "o1", 10528)
(10522, "o4", 10684)
(2503, "o8", 15625)
(15625, "x1", 15628)
(15625, "x4", 15706)
(15625, "x6", 16354)
(316, "x8", 6877)
(6877, "o1", 6883)
(6877, "o4", 7039)
(7039, "x1", 7042)
(7039, "x6", 7768)
(7039, "x7", 9226)
(6877, "o6", 8335)
(8335, "x1", 8338)
(8335, "x4", 8416)
(8335, "x7", 10522)
(6877, "o7", 11251)
(11251, "x1", 11254)
(11251, "x4", 11332)
(11251, "x6", 11980)
(262, "o4", 424)
(424, "x1", 427)
(424, "x3", 451)
(424, "x6", 1153)
(1153, "o1", 1159)
(1153, "o3", 1207)
(1153, "o7", 5527)
(5527, "x1", 5530)
(5527, "x3", 5554)
(5527, "x8", 12088)
(12088, "o1", 12094)
(12088, "o3", 12142)
(1153, "o8", 14275)
(14275, "x1", 14278)
(14275, "x3", 14302)
(14275, "x7", 16462)
(16462, "o1", 16468)
(16462, "o3", 16516)
(424, "x7", 2611)
(2611, "o1", 2617)
(2611, "o3", 2665)
(2611, "o6", 4069)
(4069, "o-won", 19683)
(2611, "o8", 15733)
(15733, "x1", 15736)
(15733, "x3", 15760)
(15733, "x6", 16462)
(424, "x8", 6985)
(6985, "o1", 6991)
(6985, "o3", 7039)
(6985, "o6", 8443)
(8443, "o-won", 19683)
(6985, "o7", 11359)
(11359, "x1", 11362)
(11359, "x3", 11386)
(11359, "x6", 12088)
(262, "o6", 1720)
(1720, "x1", 1723)
(1720, "x3", 1747)
(1720, "x4", 1801)
(1720, "x7", 3907)
(3907, "o1", 3913)
(3907, "o3", 3961)
(3907, "o4", 4069)
(3907, "o8", 17029)
(17029, "x1", 17032)
(17029, "x3", 17056)
(17029, "x4", 17110)
(1720, "x8", 8281)
(8281, "o1", 8287)
(8281, "o3", 8335)
(8281, "o4", 8443)
(8281, "o7", 12655)
(12655, "x1", 12658)
(12655, "x3", 12682)
(12655, "x4", 12736)
(262, "o7", 4636)
(4636, "x1", 4639)
(4636, "x3", 4663)
(4636, "x4", 4717)
(4636, "x6", 5365)
(5365, "o1", 5371)
(5365, "o3", 5419)
(5365, "o4", 5527)
(5365, "o8", 18487)
(18487, "x1", 18490)
(18487, "x3", 18514)
(18487, "x4", 18568)
(4636, "x8", 11197)
(11197, "o1", 11203)
(11197, "o3", 11251)
(11197, "o4", 11359)
(11197, "o6", 12655)
(262, "o8", 13384)
(13384, "x1", 13387)
(13384, "x3", 13411)
(13384, "x4", 13465)
(13384, "x6", 14113)
(14113, "o1", 14119)
(14113, "o3", 14167)
(14113, "o4", 14275)
(14113, "o7", 18487)
(13384, "x7", 15571)
(15571, "o1", 15577)
(15571, "o3", 15625)
(15571, "o4", 15733)
(15571, "o6", 17029)
(19, "x6", 748)
(748, "o1", 754)
(748, "o3", 802)
(802, "x1", 805)
(802, "x4", 883)
(802, "x5", 1045)
(802, "x7", 2989)
(2989, "o1", 2995)
(2989, "o4", 3151)
(3151, "x1", 3154)
(3151, "x5", 3394)
(3151, "x8", 9712)
(9712, "x-won", 19683)
(2989, "o5", 3475)
(3475, "x1", 3478)
(3475, "x4", 3556)
(3475, "x8", 10036)
(10036, "x-won", 19683)
(2989, "o8", 16111)
(16111, "x1", 16114)
(16111, "x4", 16192)
(16111, "x5", 16354)
(802, "x8", 7363)
(7363, "o1", 7369)
(7363, "o4", 7525)
(7525, "x1", 7528)
(7525, "x5", 7768)
(7525, "x7", 9712)
(7363, "o5", 7849)
(7849, "x1", 7852)
(7849, "x4", 7930)
(7849, "x7", 10036)
(7363, "o7", 11737)
(11737, "x1", 11740)
(11737, "x4", 11818)
(11737, "x5", 11980)
(748, "o4", 910)
(910, "x1", 913)
(910, "x3", 937)
(910, "x5", 1153)
(910, "x7", 3097)
(3097, "o1", 3103)
(3097, "o3", 3151)
(3097, "o5", 3583)
(3583, "x1", 3586)
(3583, "x3", 3610)
(3583, "x8", 10144)
(10144, "x-won", 19683)
(3097, "o8", 16219)
(16219, "x1", 16222)
(16219, "x3", 16246)
(16219, "x5", 16462)
(910, "x8", 7471)
(7471, "o1", 7477)
(7471, "o3", 7525)
(7471, "o5", 7957)
(7957, "x1", 7960)
(7957, "x3", 7984)
(7957, "x7", 10144)
(7471, "o7", 11845)
(11845, "x1", 11848)
(11845, "x3", 11872)
(11845, "x5", 12088)
(748, "o5", 1234)
(1234, "x1", 1237)
(1234, "x3", 1261)
(1234, "x4", 1315)
(1234, "x7", 3421)
(3421, "o1", 3427)
(3421, "o3", 3475)
(3421, "o4", 3583)
(3421, "o8", 16543)
(16543, "o-won", 19683)
(1234, "x8", 7795)
(7795, "o1", 7801)
(7795, "o3", 7849)
(7795, "o4", 7957)
(7795, "o7", 12169)
(12169, "x1", 12172)
(12169, "x3", 12196)
(12169, "x4", 12250)
(748, "o7", 5122)
(5122, "x1", 5125)
(5122, "x3", 5149)
(5122, "x4", 5203)
(5122, "x5", 5365)
(5122, "x8", 11683)
(11683, "o1", 11689)
(11683, "o3", 11737)
(11683, "o4", 11845)
(11683, "o5", 12169)
(748, "o8", 13870)
(13870, "x1", 13873)
(13870, "x3", 13897)
(13870, "x4", 13951)
(13870, "x5", 14113)
(13870, "x7", 16057)
(16057, "o1", 16063)
(16057, "o3", 16111)
(16057, "o4", 16219)
(16057, "o5", 16543)
(19, "x7", 2206)
(2206, "o1", 2212)
(2206, "o3", 2260)
(2260, "x1", 2263)
(2260, "x4", 2341)
(2260, "x5", 2503)
(2260, "x6", 2989)
(2260, "x8", 8821)
(8821, "o1", 8827)
(8821, "o4", 8983)
(8983, "x1", 8986)
(8983, "x5", 9226)
(8983, "x6", 9712)
(8821, "o5", 9307)
(9307, "x1", 9310)
(9307, "x4", 9388)
(9307, "x6", 10036)
(8821, "o6", 10279)
(10279, "x1", 10282)
(10279, "x4", 10360)
(10279, "x5", 10522)
(2206, "o4", 2368)
(2368, "x1", 2371)
(2368, "x3", 2395)
(2368, "x5", 2611)
(2368, "x6", 3097)
(2368, "x8", 8929)
(8929, "o1", 8935)
(8929, "o3", 8983)
(8929, "o5", 9415)
(9415, "x1", 9418)
(9415, "x3", 9442)
(9415, "x6", 10144)
(8929, "o6", 10387)
(10387, "o-won", 19683)
(2206, "o5", 2692)
(2692, "x1", 2695)
(2692, "x3", 2719)
(2692, "x4", 2773)
(2692, "x6", 3421)
(2692, "x8", 9253)
(9253, "o1", 9259)
(9253, "o3", 9307)
(9253, "o4", 9415)
(9253, "o6", 10711)
(10711, "x1", 10714)
(10711, "x3", 10738)
(10711, "x4", 10792)
(2206, "o6", 3664)
(3664, "x1", 3667)
(3664, "x3", 3691)
(3664, "x4", 3745)
(3664, "x5", 3907)
(3664, "x8", 10225)
(10225, "o1", 10231)
(10225, "o3", 10279)
(10225, "o4", 10387)
(10225, "o5", 10711)
(2206, "o8", 15328)
(15328, "x1", 15331)
(15328, "x3", 15355)
(15328, "x4", 15409)
(15328, "x5", 15571)
(15328, "x6", 16057)
(19, "x8", 6580)
(6580, "o1", 6586)
(6580, "o3", 6634)
(6634, "x1", 6637)
(6634, "x4", 6715)
(6634, "x5", 6877)
(6634, "x6", 7363)
(6634, "x7", 8821)
(6580, "o4", 6742)
(6742, "x1", 6745)
(6742, "x3", 6769)
(6742, "x5", 6985)
(6742, "x6", 7471)
(6742, "x7", 8929)
(6580, "o5", 7066)
(7066, "x1", 7069)
(7066, "x3", 7093)
(7066, "x4", 7147)
(7066, "x6", 7795)
(7066, "x7", 9253)
(6580, "o6", 8038)
(8038, "x1", 8041)
(8038, "x3", 8065)
(8038, "x4", 8119)
(8038, "x5", 8281)
(8038, "x7", 10225)
(6580, "o7", 10954)
(10954, "x1", 10957)
(10954, "x3", 10981)
(10954, "x4", 11035)
(10954, "x5", 11197)
(10954, "x6", 11683)
(1, "o3", 55)
(55, "x1", 58)
(58, "o2", 76)
(58, "o4", 220)
(220, "x2", 229)
(229, "x-won", 19683)
(220, "x5", 463)
(463, "o2", 481)
(463, "o6", 1921)
(1921, "x2", 1930)
(1930, "x-won", 19683)
(1921, "x7", 4108)
(4108, "o2", 4126)
(4108, "o8", 17230)
(17230, "x2", 17239)
(17239, "x-won", 19683)
(1921, "x8", 8482)
(8482, "o2", 8500)
(8482, "o7", 12856)
(12856, "x2", 12865)
(12865, "x-won", 19683)
(463, "o7", 4837)
(4837, "x2", 4846)
(4846, "x-won", 19683)
(4837, "x6", 5566)
(5566, "o2", 5584)
(5566, "o8", 18688)
(18688, "x2", 18697)
(18697, "x-won", 19683)
(4837, "x8", 11398)
(11398, "o2", 11416)
(11398, "o6", 12856)
(463, "o8", 13585)
(13585, "x2", 13594)
(13594, "x-won", 19683)
(13585, "x6", 14314)
(14314, "o2", 14332)
(14314, "o7", 18688)
(13585, "x7", 15772)
(15772, "o2", 15790)
(15772, "o6", 17230)
(220, "x6", 949)
(949, "o2", 967)
(949, "o5", 1435)
(1435, "o-won", 19683)
(949, "o7", 5323)
(5323, "x2", 5332)
(5332, "x-won", 19683)
(5323, "x5", 5566)
(5323, "x8", 11884)
(11884, "o2", 11902)
(11884, "o5", 12370)
(12370, "o-won", 19683)
(949, "o8", 14071)
(14071, "x2", 14080)
(14080, "x-won", 19683)
(14071, "x5", 14314)
(14071, "x7", 16258)
(16258, "o2", 16276)
(16258, "o5", 16744)
(16744, "o-won", 19683)
(220, "x7", 2407)
(2407, "o2", 2425)
(2407, "o5", 2893)
(2893, "o-won", 19683)
(2407, "o6", 3865)
(3865, "x2", 3874)
(3874, "x-won", 19683)
(3865, "x5", 4108)
(3865, "x8", 10426)
(10426, "o2", 10444)
(10426, "o5", 10912)
(10912, "o-won", 19683)
(2407, "o8", 15529)
(15529, "x2", 15538)
(15538, "x-won", 19683)
(15529, "x5", 15772)
(15529, "x6", 16258)
(220, "x8", 6781)
(6781, "o2", 6799)
(6781, "o5", 7267)
(7267, "o-won", 19683)
(6781, "o6", 8239)
(8239, "x2", 8248)
(8248, "x-won", 19683)
(8239, "x5", 8482)
(8239, "x7", 10426)
(6781, "o7", 11155)
(11155, "x2", 11164)
(11164, "x-won", 19683)
(11155, "x5", 11398)
(11155, "x6", 11884)
(58, "o5", 544)
(544, "x2", 553)
(553, "x-won", 19683)
(544, "x4", 625)
(625, "o2", 643)
(625, "o6", 2083)
(2083, "x2", 2092)
(2092, "x-won", 19683)
(2083, "x7", 4270)
(4270, "x-won", 19683)
(2083, "x8", 8644)
(8644, "x-won", 19683)
(625, "o7", 4999)
(4999, "x2", 5008)
(5008, "x-won", 19683)
(4999, "x6", 5728)
(5728, "o2", 5746)
(5728, "o8", 18850)
(18850, "x2", 18859)
(18859, "x-won", 19683)
(4999, "x8", 11560)
(11560, "x-won", 19683)
(625, "o8", 13747)
(13747, "x2", 13756)
(13756, "x-won", 19683)
(13747, "x6", 14476)
(14476, "o2", 14494)
(14476, "o7", 18850)
(13747, "x7", 15934)
(15934, "x-won", 19683)
(544, "x6", 1273)
(1273, "o2", 1291)
(1273, "o4", 1435)
(1273, "o7", 5647)
(5647, "x2", 5656)
(5656, "x-won", 19683)
(5647, "x4", 5728)
(5647, "x8", 12208)
(12208, "o2", 12226)
(12208, "o4", 12370)
(1273, "o8", 14395)
(14395, "x2", 14404)
(14404, "x-won", 19683)
(14395, "x4", 14476)
(14395, "x7", 16582)
(16582, "o2", 16600)
(16582, "o4", 16744)
(544, "x7", 2731)
(2731, "o2", 2749)
(2731, "o4", 2893)
(2731, "o6", 4189)
(4189, "x2", 4198)
(4198, "x-won", 19683)
(4189, "x4", 4270)
(4189, "x8", 10750)
(10750, "o2", 10768)
(10750, "o4", 10912)
(2731, "o8", 15853)
(15853, "x2", 15862)
(15862, "x-won", 19683)
(15853, "x4", 15934)
(15853, "x6", 16582)
(544, "x8", 7105)
(7105, "o2", 7123)
(7105, "o4", 7267)
(7105, "o6", 8563)
(8563, "x2", 8572)
(8572, "x-won", 19683)
(8563, "x4", 8644)
(8563, "x7", 10750)
(7105, "o7", 11479)
(11479, "x2", 11488)
(11488, "x-won", 19683)
(11479, "x4", 11560)
(11479, "x6", 12208)
(58, "o6", 1516)
(1516, "x2", 1525)
(1525, "x-won", 19683)
(1516, "x4", 1597)
(1597, "o2", 1615)
(1597, "o5", 2083)
(1597, "o7", 5971)
(5971, "x2", 5980)
(5980, "x-won", 19683)
(5971, "x5", 6214)
(6214, "o2", 6232)
(6214, "o8", 19336)
(19336, "o-won", 19683)
(5971, "x8", 12532)
(12532, "x-won", 19683)
(1597, "o8", 14719)
(14719, "x2", 14728)
(14728, "x-won", 19683)
(14719, "x5", 14962)
(14962, "o2", 14980)
(14962, "o7", 19336)
(14719, "x7", 16906)
(16906, "x-won", 19683)
(1516, "x5", 1759)
(1759, "o2", 1777)
(1759, "o4", 1921)
(1759, "o7", 6133)
(6133, "x2", 6142)
(6142, "x-won", 19683)
(6133, "x4", 6214)
(6133, "x8", 12694)
(12694, "o2", 12712)
(12694, "o4", 12856)
(1759, "o8", 14881)
(14881, "x2", 14890)
(14890, "x-won", 19683)
(14881, "x4", 14962)
(14881, "x7", 17068)
(17068, "o2", 17086)
(17068, "o4", 17230)
(1516, "x7", 3703)
(3703, "o2", 3721)
(3703, "o4", 3865)
(3703, "o5", 4189)
(3703, "o8", 16825)
(16825, "x2", 16834)
(16834, "x-won", 19683)
(16825, "x4", 16906)
(16825, "x5", 17068)
(1516, "x8", 8077)
(8077, "o2", 8095)
(8077, "o4", 8239)
(8077, "o5", 8563)
(8077, "o7", 12451)
(12451, "x2", 12460)
(12460, "x-won", 19683)
(12451, "x4", 12532)
(12451, "x5", 12694)
(58, "o7", 4432)
(4432, "x2", 4441)
(4441, "x-won", 19683)
(4432, "x4", 4513)
(4513, "o2", 4531)
(4513, "o5", 4999)
(4513, "o6", 5971)
(4513, "o8", 17635)
(17635, "x2", 17644)
(17644, "x-won", 19683)
(17635, "x5", 17878)
(17878, "o2", 17896)
(17878, "o6", 19336)
(17635, "x6", 18364)
(18364, "o2", 18382)
(18364, "o5", 18850)
(4432, "x5", 4675)
(4675, "o2", 4693)
(4675, "o4", 4837)
(4675, "o6", 6133)
(4675, "o8", 17797)
(17797, "x2", 17806)
(17806, "x-won", 19683)
(17797, "x4", 17878)
(17797, "x6", 18526)
(18526, "o2", 18544)
(18526, "o4", 18688)
(4432, "x6", 5161)
(5161, "o2", 5179)
(5161, "o4", 5323)
(5161, "o5", 5647)
(5161, "o8", 18283)
(18283, "x2", 18292)
(18292, "x-won", 19683)
(18283, "x4", 18364)
(18283, "x5", 18526)
(4432, "x8", 10993)
(10993, "o2", 11011)
(10993, "o4", 11155)
(10993, "o5", 11479)
(10993, "o6", 12451)
(58, "o8", 13180)
(13180, "x2", 13189)
(13189, "x-won", 19683)
(13180, "x4", 13261)
(13261, "o2", 13279)
(13261, "o5", 13747)
(13261, "o6", 14719)
(13261, "o7", 17635)
(13180, "x5", 13423)
(13423, "o2", 13441)
(13423, "o4", 13585)
(13423, "o6", 14881)
(13423, "o7", 17797)
(13180, "x6", 13909)
(13909, "o2", 13927)
(13909, "o4", 14071)
(13909, "o5", 14395)
(13909, "o7", 18283)
(13180, "x7", 15367)
(15367, "o2", 15385)
(15367, "o4", 15529)
(15367, "o5", 15853)
(15367, "o6", 16825)
(55, "x2", 64)
(64, "o1", 70)
(64, "o4", 226)
(226, "x1", 229)
(226, "x5", 469)
(469, "o1", 475)
(469, "o6", 1927)
(1927, "x1", 1930)
(1927, "x7", 4114)
(4114, "o1", 4120)
(4114, "o8", 17236)
(17236, "x1", 17239)
(1927, "x8", 8488)
(8488, "x-won", 19683)
(469, "o7", 4843)
(4843, "x1", 4846)
(4843, "x6", 5572)
(5572, "o1", 5578)
(5572, "o8", 18694)
(18694, "x1", 18697)
(4843, "x8", 11404)
(11404, "x-won", 19683)
(469, "o8", 13591)
(13591, "x1", 13594)
(13591, "x6", 14320)
(14320, "o1", 14326)
(14320, "o7", 18694)
(13591, "x7", 15778)
(15778, "o1", 15784)
(15778, "o6", 17236)
(226, "x6", 955)
(955, "o1", 961)
(955, "o5", 1441)
(1441, "o-won", 19683)
(955, "o7", 5329)
(5329, "x1", 5332)
(5329, "x5", 5572)
(5329, "x8", 11890)
(11890, "o1", 11896)
(11890, "o5", 12376)
(12376, "o-won", 19683)
(955, "o8", 14077)
(14077, "x1", 14080)
(14077, "x5", 14320)
(14077, "x7", 16264)
(16264, "o1", 16270)
(16264, "o5", 16750)
(16750, "o-won", 19683)
(226, "x7", 2413)
(2413, "o1", 2419)
(2413, "o5", 2899)
(2899, "o-won", 19683)
(2413, "o6", 3871)
(3871, "x1", 3874)
(3871, "x5", 4114)
(3871, "x8", 10432)
(10432, "o1", 10438)
(10432, "o5", 10918)
(10918, "o-won", 19683)
(2413, "o8", 15535)
(15535, "x1", 15538)
(15535, "x5", 15778)
(15535, "x6", 16264)
(226, "x8", 6787)
(6787, "o1", 6793)
(6787, "o5", 7273)
(7273, "o-won", 19683)
(6787, "o6", 8245)
(8245, "x1", 8248)
(8245, "x5", 8488)
(8245, "x7", 10432)
(6787, "o7", 11161)
(11161, "x1", 11164)
(11161, "x5", 11404)
(11161, "x6", 11890)
(64, "o5", 550)
(550, "x1", 553)
(550, "x4", 631)
(631, "o1", 637)
(631, "o6", 2089)
(2089, "x1", 2092)
(2089, "x7", 4276)
(4276, "o1", 4282)
(4276, "o8", 17398)
(17398, "x1", 17401)
(17401, "x-won", 19683)
(2089, "x8", 8650)
(8650, "x-won", 19683)
(631, "o7", 5005)
(5005, "x1", 5008)
(5005, "x6", 5734)
(5734, "x-won", 19683)
(5005, "x8", 11566)
(11566, "x-won", 19683)
(631, "o8", 13753)
(13753, "x1", 13756)
(13753, "x6", 14482)
(14482, "x-won", 19683)
(13753, "x7", 15940)
(15940, "o1", 15946)
(15940, "o6", 17398)
(550, "x6", 1279)
(1279, "o1", 1285)
(1279, "o4", 1441)
(1279, "o7", 5653)
(5653, "x1", 5656)
(5653, "x4", 5734)
(5653, "x8", 12214)
(12214, "o1", 12220)
(12214, "o4", 12376)
(1279, "o8", 14401)
(14401, "x1", 14404)
(14401, "x4", 14482)
(14401, "x7", 16588)
(16588, "o1", 16594)
(16588, "o4", 16750)
(550, "x7", 2737)
(2737, "o1", 2743)
(2737, "o4", 2899)
(2737, "o6", 4195)
(4195, "x1", 4198)
(4195, "x4", 4276)
(4195, "x8", 10756)
(10756, "o1", 10762)
(10756, "o4", 10918)
(2737, "o8", 15859)
(15859, "x1", 15862)
(15859, "x4", 15940)
(15859, "x6", 16588)
(550, "x8", 7111)
(7111, "o1", 7117)
(7111, "o4", 7273)
(7111, "o6", 8569)
(8569, "x1", 8572)
(8569, "x4", 8650)
(8569, "x7", 10756)
(7111, "o7", 11485)
(11485, "x1", 11488)
(11485, "x4", 11566)
(11485, "x6", 12214)
(64, "o6", 1522)
(1522, "x1", 1525)
(1522, "x4", 1603)
(1603, "o1", 1609)
(1603, "o5", 2089)
(1603, "o7", 5977)
(5977, "x1", 5980)
(5977, "x5", 6220)
(6220, "o1", 6226)
(6220, "o8", 19342)
(19342, "o-won", 19683)
(5977, "x8", 12538)
(12538, "x-won", 19683)
(1603, "o8", 14725)
(14725, "x1", 14728)
(14725, "x5", 14968)
(14968, "o1", 14974)
(14968, "o7", 19342)
(14725, "x7", 16912)
(16912, "o1", 16918)
(16912, "o5", 17398)
(1522, "x5", 1765)
(1765, "o1", 1771)
(1765, "o4", 1927)
(1765, "o7", 6139)
(6139, "x1", 6142)
(6139, "x4", 6220)
(6139, "x8", 12700)
(12700, "x-won", 19683)
(1765, "o8", 14887)
(14887, "x1", 14890)
(14887, "x4", 14968)
(14887, "x7", 17074)
(17074, "o1", 17080)
(17074, "o4", 17236)
(1522, "x7", 3709)
(3709, "o1", 3715)
(3709, "o4", 3871)
(3709, "o5", 4195)
(3709, "o8", 16831)
(16831, "x1", 16834)
(16831, "x4", 16912)
(16831, "x5", 17074)
(1522, "x8", 8083)
(8083, "o1", 8089)
(8083, "o4", 8245)
(8083, "o5", 8569)
(8083, "o7", 12457)
(12457, "x1", 12460)
(12457, "x4", 12538)
(12457, "x5", 12700)
(64, "o7", 4438)
(4438, "x1", 4441)
(4438, "x4", 4519)
(4519, "o1", 4525)
(4519, "o5", 5005)
(4519, "o6", 5977)
(4519, "o8", 17641)
(17641, "x1", 17644)
(17641, "x5", 17884)
(17884, "o1", 17890)
(17884, "o6", 19342)
